name1,name2,discovery date,uniport1,uniport2,id1,id2,time
C1S,C1R,"datetime(1990, 5, 15, 0, 0)",P09871,P00736,113438,112343,1990
CNN1,MYO1A,"datetime(1990, 6, 15, 0, 0)",P51911,Q9UBC5,115349,100900,1990
ITGB5,ITGAV,"datetime(1990, 7, 5, 0, 0)",P18084,P06756,107325,105692,1990
CSF2,CSF2,"datetime(1990, 12, 1, 0, 0)",P04141,P04141,113411,113411,1990
,IGLC1,"datetime(1990, 2, 1, 0, 0)",P01709,P0CG04,112696,105617,1990
DPEP1,DPEP1,"datetime(1990, 1, 15, 0, 0)",P16444,P16444,102694,102694,1990
C1QA,C1R,"datetime(1990, 5, 15, 0, 0)",P02745,P00736,108705,112343,1990
TCF3,MYOG,"datetime(1990, 4, 1, 0, 0)",P15923,P15173,101412,106163,1990
ERBB2,ERBB2,"datetime(1990, 1, 1, 0, 0)",P04626,P04626,110434,110434,1990
ITGB3,VTN,"datetime(1990, 7, 5, 0, 0)",P05106,P04004,102702,103767,1990
CDK1,ABL1,"datetime(1990, 4, 13, 0, 0)",P06493,P00519,107105,104641,1990
ITGB5,VTN,"datetime(1990, 7, 5, 0, 0)",P18084,P04004,107325,103767,1990
ITGAV,VTN,"datetime(1990, 7, 5, 0, 0)",P06756,P04004,105692,103767,1990
MIOX,MIOX,"datetime(1990, 10, 24, 0, 0)",Q9UGB7,Q9UGB7,104202,104202,1990
CD2,PTPRC,"datetime(1990, 5, 3, 0, 0)",P06729,P08575,101902,111903,1990
FN1,ITGAV,"datetime(1990, 7, 5, 0, 0)",P02751,P06756,104307,105692,1990
UBA1,UBE2K,"datetime(1990, 12, 1, 0, 0)",P22314,P61086,102745,102661,1990
POLR2B,BTF3,"datetime(1990, 4, 5, 0, 0)",P30876,P20290,113849,103922,1990
ITGB3,FN1,"datetime(1990, 7, 5, 0, 0)",P05106,P02751,102702,104307,1990
F10,F5,"datetime(1990, 3, 5, 0, 0)",P00742,P12259,107520,103875,1990
KLK3,SERPINA1,"datetime(1990, 12, 27, 0, 0)",P07288,P01009,108142,100240,1990
ITGA2,COL1A1,"datetime(1990, 3, 25, 0, 0)",P17301,P02452,108151,105417,1990
ITGB3,VWF,"datetime(1990, 7, 5, 0, 0)",P05106,P04275,102702,103887,1990
C1S,C1S,"datetime(1990, 8, 25, 0, 0)",P09871,P09871,113438,113438,1990
TNFRSF1A,LTA,"datetime(1990, 10, 1, 0, 0)",P19438,P01374,113149,116300,1990
CD14,LBP,"datetime(1990, 9, 21, 0, 0)",P08571,P18428,104703,105235,1990
ITGB1,ACTN1,"datetime(1990, 8, 1, 0, 0)",P05556,P12814,101292,115233,1990
APP,TGFB2,"datetime(1990, 9, 14, 0, 0)",P05067,P61812,104269,103351,1990
CSF2,CSF2RB,"datetime(1990, 12, 1, 0, 0)",P04141,P32927,113411,104297,1990
DNASE1,ACTA1,"datetime(1990, 9, 6, 0, 0)",P24855,P68133,111465,111566,1990
CD80,CD28,"datetime(1990, 7, 1, 0, 0)",P33681,P10747,101651,107752,1990
