name1,name2,discovery date,uniport1,uniport2,id1,id2,time
SKP1,UBE2D1,"datetime(2000, 9, 12, 0, 0)",P63208,P51668,100881,114399,2000
VAV3,GRB2,"datetime(2000, 12, 1, 0, 0)",Q9UKW4,P62993,113277,113112,2000
ITGA3,FHL2,"datetime(2000, 10, 27, 0, 0)",P26006,Q14192,113443,107341,2000
TP53,TAF1B,"datetime(2000, 8, 1, 0, 0)",P04637,Q53T94,114765,105005,2000
C1QBP,PRKCZ,"datetime(2000, 8, 11, 0, 0)",Q07021,Q05513,115894,109176,2000
ZAK,ZAK,"datetime(2000, 8, 11, 0, 0)",Q9NYL2,Q9NYL2,105628,105628,2000
HNRNPC,HNRNPC,"datetime(2000, 5, 5, 0, 0)",P07910,P07910,107868,107868,2000
MAPK10,ARRB2,"datetime(2000, 11, 24, 0, 0)",P53779,P32121,104954,110282,2000
AP2A1,RALBP1,"datetime(2000, 6, 16, 0, 0)",O95782,Q15311,106046,107301,2000
PRKDC,EIF4EBP1,"datetime(2000, 3, 17, 0, 0)",P78527,Q13541,115196,109203,2000
COPS5,COPS7A,"datetime(2000, 7, 28, 0, 0)",Q92905,Q9UBW8,105737,103806,2000
FANCA,FANCF,"datetime(2000, 11, 1, 0, 0)",O15360,Q9NPI8,110994,100495,2000
PAIP1,SYNCRIP,"datetime(2000, 9, 29, 0, 0)",Q9H074,O60506,103036,116257,2000
VAV3,ROS1,"datetime(2000, 12, 1, 0, 0)",Q9UKW4,P08922,113277,101087,2000
VASP,PFN1,"datetime(2000, 10, 6, 0, 0)",P50552,P07737,103417,103884,2000
UCP3,YWHAZ,"datetime(2000, 5, 1, 0, 0)",P55916,P63104,110677,111046,2000
PKP2,VIM,"datetime(2000, 7, 1, 0, 0)",Q99959,P08670,113129,115359,2000
CDC42,CDC42SE2,"datetime(2000, 7, 28, 0, 0)",P60953,Q9NRR3,110613,109249,2000
VPS26A,SNX1,"datetime(2000, 12, 1, 0, 0)",O75436,Q13596,112488,112876,2000
NCOR1,RUNX1,"datetime(2000, 5, 1, 0, 0)",O75376,Q01196,106442,107201,2000
PPP3R1,CABP5,"datetime(2000, 12, 20, 0, 0)",P63098,Q9NP86,115852,103293,2000
REXO4,ESR1,"datetime(2000, 11, 3, 0, 0)",Q9GZR2,P03372,108929,102503,2000
PRL,PPIB,"datetime(2000, 8, 1, 0, 0)",P01236,P23284,100067,116075,2000
LITAF,NEDD4,"datetime(2000, 11, 1, 0, 0)",Q99732,P46934,105396,108146,2000
IKBKG,RIPK1,"datetime(2000, 9, 8, 0, 0)",Q9Y6K9,Q13546,115195,109207,2000
GRB2,PAG1,"datetime(2000, 5, 1, 0, 0)",P62993,Q9NWQ8,113112,112251,2000
MGMT,PRKACA,"datetime(2000, 1, 15, 0, 0)",P16455,P17612,112740,101383,2000
PECAM1,FYN,"datetime(2000, 9, 1, 0, 0)",P16284,P06241,104841,109836,2000
PRMT1,FGF2,"datetime(2000, 2, 4, 0, 0)",Q99873,P09038,106128,104315,2000
HDAC4,MAPK1,"datetime(2000, 12, 19, 0, 0)",P56524,P28482,111662,108691,2000
NCOR1,PML,"datetime(2000, 5, 1, 0, 0)",O75376,P29590,106442,101263,2000
LIG4,XRCC4,"datetime(2000, 5, 1, 0, 0)",P49917,Q13426,101702,109465,2000
PRKCQ,VAV1,"datetime(2000, 4, 1, 0, 0)",Q04759,P15498,103204,110105,2000
SUMO1,JUNB,"datetime(2000, 5, 5, 0, 0)",P63165,P17275,101887,115087,2000
PTRF,ZNF148,"datetime(2000, 4, 1, 0, 0)",Q6NZI2,Q9UQR1,113838,102848,2000
MMP13,BCAN,"datetime(2000, 12, 8, 0, 0)",P45452,Q96GW7,114447,115443,2000
RBX1,UBE2D3,"datetime(2000, 11, 1, 0, 0)",P62877,P61077,105264,108169,2000
EIF2B5,EIF2B4,"datetime(2000, 6, 21, 0, 0)",Q13144,Q9UI10,115503,104532,2000
SLC9A3R2,CFTR,"datetime(2000, 9, 22, 0, 0)",Q15599,P13569,109744,110936,2000
CALM1; CALM2; CALM3,DCTN2,"datetime(2000, 8, 4, 0, 0)",P62158,Q13561,102031,100570,2000
MLX,MLX,"datetime(2000, 7, 6, 0, 0)",Q9UH92,Q9UH92,113342,113342,2000
NXF1,DHX9,"datetime(2000, 10, 20, 0, 0)",Q9UBU9,Q08211,111795,115481,2000
ESR2,NCOA1,"datetime(2000, 5, 1, 0, 0)",Q92731,Q15788,100229,108625,2000
PTPRA,CALM1; CALM2; CALM3,"datetime(2000, 9, 29, 0, 0)",P18433,P62158,100911,102031,2000
DLG4,KIF13B,"datetime(2000, 9, 15, 0, 0)",P78352,Q9NQT8,114692,110329,2000
TRPC1,ITPR3,"datetime(2000, 11, 24, 0, 0)",P48995,Q14573,112008,112352,2000
NDEL1,PAFAH1B1,"datetime(2000, 8, 7, 0, 0)",Q9GZM8,P43034,100620,104157,2000
CDC5L,BCAS2,"datetime(2000, 12, 1, 0, 0)",Q99459,O75934,102316,114455,2000
PSMD2,PSMD5,"datetime(2000, 1, 14, 0, 0)",Q13200,Q16401,104694,110899,2000
PARD6B,RHOQ,"datetime(2000, 8, 1, 0, 0)",Q9BYG5,P17081,104515,116186,2000
GRIP1,RXRA,"datetime(2000, 11, 1, 0, 0)",Q9Y3R0,P19793,112974,101747,2000
TNFRSF1B,KRT18,"datetime(2000, 4, 3, 0, 0)",P20333,P05783,112376,109192,2000
SMARCE1,GATA1,"datetime(2000, 10, 1, 0, 0)",Q969G3,P15976,107840,114276,2000
MRAS,RAPGEF5,"datetime(2000, 11, 10, 0, 0)",O14807,Q92565,102923,100646,2000
ACTR2,BMP2,"datetime(2000, 7, 3, 0, 0)",P61160,P12643,102790,114630,2000
EIF3G,EPB41,"datetime(2000, 7, 15, 0, 0)",O75821,P11171,103160,113198,2000
ANKRA2,LRP2,"datetime(2000, 12, 1, 0, 0)",Q9H9E1,P98164,101450,103196,2000
ATR,CHEK2,"datetime(2000, 9, 12, 0, 0)",Q13535,O96017,105506,108135,2000
GSK3B,AKT1,"datetime(2000, 10, 24, 0, 0)",P49841,P31749,111112,112440,2000
ESR2,NCOA2,"datetime(2000, 10, 1, 0, 0)",Q92731,Q15596,100229,109743,2000
CSTF1,CSTF2,"datetime(2000, 3, 1, 0, 0)",Q05048,P33240,110244,105227,2000
CCNH,MCM7,"datetime(2000, 10, 27, 0, 0)",P51946,P33993,107425,106062,2000
SMARCB1,GATA1,"datetime(2000, 10, 1, 0, 0)",Q12824,P15976,116527,114276,2000
RANBP2,NXF1,"datetime(2000, 1, 1, 0, 0)",P49792,Q9UBU9,108515,111795,2000
CTNNB1,AR,"datetime(2000, 9, 1, 0, 0)",P35222,P10275,111577,114547,2000
RTN1,BCL2L1,"datetime(2000, 11, 23, 0, 0)",Q16799,Q07817,100537,101535,2000
SYNJ2BP,LRP1,"datetime(2000, 8, 18, 0, 0)",P57105,Q07954,112012,103717,2000
STAT1,KPNA1,"datetime(2000, 9, 15, 0, 0)",P42224,P52294,100815,110086,2000
POLR2A,XAB2,"datetime(2000, 11, 10, 0, 0)",P24928,Q9HCS7,108908,108286,2000
RAB5A,RAB37,"datetime(2000, 3, 17, 0, 0)",P20339,Q96AX2,112379,103737,2000
TNFSF8,TNFRSF8,"datetime(2000, 2, 1, 0, 0)",P32971,P28908,109254,106399,2000
NRP2,VEGFA,"datetime(2000, 6, 16, 0, 0)",O60462,P15692,101254,114634,2000
CREBBP,PPARG,"datetime(2000, 7, 1, 0, 0)",Q92793,P37231,107061,110492,2000
TOP2A,HDAC1,"datetime(2000, 11, 1, 0, 0)",P11388,Q13547,109182,109208,2000
CCR10,CCL27,"datetime(2000, 4, 1, 0, 0)",P46092,Q9Y4X3,107348,111680,2000
MBD3,MBD3,"datetime(2000, 8, 1, 0, 0)",O95983,O95983,110696,110696,2000
CAV1,NOS2,"datetime(2000, 12, 19, 0, 0)",Q03135,P35228,113940,111581,2000
BIRC3,BCL10,"datetime(2000, 4, 14, 0, 0)",Q13489,O95999,101992,115009,2000
TAF9,CEBPB,"datetime(2000, 5, 26, 0, 0)",Q16594,P17676,115710,108862,2000
EGFR,VAV2,"datetime(2000, 9, 1, 0, 0)",P00533,P52735,112630,110576,2000
AURKB,INCENP,"datetime(2000, 10, 5, 0, 0)",Q96GD4,Q9NQS7,113472,113512,2000
PNN,KRT8,"datetime(2000, 5, 19, 0, 0)",Q9H307,P05787,114307,109189,2000
RAC1,STAT3,"datetime(2000, 10, 6, 0, 0)",P63000,P40763,104701,114621,2000
ACTB,MAP2,"datetime(2000, 10, 1, 0, 0)",P60709,P11137,112552,116169,2000
