name1,name2,discovery date,uniport1,uniport2,id1,id2,time
TGFBR1,AP2B1,"datetime(2002, 11, 1, 0, 0)",P36897,P63010,111065,100415,2002
KAT2B,MDM2,"datetime(2002, 8, 23, 0, 0)",Q92831,Q00987,108390,106304,2002
PDGFB,LRP1,"datetime(2002, 5, 3, 0, 0)",P01127,Q07954,114559,103717,2002
COPA,ARFGAP1,"datetime(2002, 10, 14, 0, 0)",P53621,Q8N6T3,114472,109427,2002
MEGF10,AARS2,"datetime(2002, 11, 1, 0, 0)",Q96KG7,Q5JTZ9,112567,114982,2002
PPP2R5A,PPP2R5C,"datetime(2002, 6, 7, 0, 0)",Q15172,Q13362,112608,102478,2002
RRM1,RRM2,"datetime(2002, 1, 15, 0, 0)",P23921,P31350,103713,101670,2002
HDAC9,SIN3A,"datetime(2002, 6, 28, 0, 0)",Q9UKV0,Q96ST3,109005,111852,2002
LSM7,LSM3,"datetime(2002, 3, 1, 0, 0)",Q9UK45,P62310,103473,105357,2002
MYB,CEBPB,"datetime(2002, 1, 11, 0, 0)",P10242,P17676,110218,108862,2002
LIMK1,YWHAZ,"datetime(2002, 10, 1, 0, 0)",P53667,P63104,113879,111046,2002
WDR77,SNRPE,"datetime(2002, 3, 8, 0, 0)",Q9BQA1,P62304,109297,109610,2002
PAK4,RAC1,"datetime(2002, 1, 1, 0, 0)",O96013,P63000,108139,104701,2002
SKAP1,GRB2,"datetime(2002, 10, 25, 0, 0)",Q86WV1,P62993,104940,113112,2002
PHB,NCOR1,"datetime(2002, 12, 5, 0, 0)",P35232,O75376,115933,106442,2002
HDAC4,IKZF3,"datetime(2002, 8, 2, 0, 0)",P56524,Q9UKT9,111662,100961,2002
ESR2,MED20,"datetime(2002, 3, 5, 0, 0)",Q92731,Q9H944,100229,108133,2002
FOXO1,EP300,"datetime(2002, 2, 28, 0, 0)",Q12778,Q09472,110622,101265,2002
LYN,STAT3,"datetime(2002, 11, 22, 0, 0)",P07948,P40763,102912,114621,2002
THRA,CCND1,"datetime(2002, 8, 9, 0, 0)",P10827,P24385,105778,103741,2002
AMY1A; AMY1B; AMY1C,AKAP1,"datetime(2002, 12, 27, 0, 0)",P04745,Q92667,110732,109711,2002
IKZF3,SIN3A,"datetime(2002, 8, 2, 0, 0)",Q9UKT9,Q96ST3,100961,111852,2002
TOMM7,TOMM22,"datetime(2002, 11, 1, 0, 0)",Q9P0U1,Q9NS69,108053,108792,2002
IL4R,CD40,"datetime(2002, 9, 1, 0, 0)",P24394,P25942,116087,115912,2002
PARD6G,PARD3,"datetime(2002, 12, 13, 0, 0)",Q9BYG4,Q8TEW0,115459,109139,2002
COG4,COG3,"datetime(2002, 6, 14, 0, 0)",Q9H9E3,Q96JB2,108672,107679,2002
KAT2B,HIST1H2BB,"datetime(2002, 4, 19, 0, 0)",Q92831,P33778,108390,100701,2002
CNOT3,CAND2,"datetime(2002, 9, 6, 0, 0)",O75175,O75155,104340,112396,2002
STX1B,VAMP1,"datetime(2002, 6, 1, 0, 0)",P61266,P23763,112104,108774,2002
RGS13,GNAI2,"datetime(2002, 9, 1, 0, 0)",O14921,P04899,104564,115415,2002
PPP2R5A,BCL2,"datetime(2002, 6, 21, 0, 0)",Q15172,P10415,112608,109222,2002
MED8,TCEB2,"datetime(2002, 8, 6, 0, 0)",Q96G25,Q15370,108444,114702,2002
E2F6,REEP5,"datetime(2002, 5, 10, 0, 0)",O75461,Q00765,116271,108538,2002
SNRNP70,SKP1,"datetime(2002, 2, 15, 0, 0)",P08621,P63208,110383,100881,2002
CDK1,RGCC,"datetime(2002, 1, 4, 0, 0)",P06493,Q9H4X1,107105,109558,2002
TRAF2,SIAH2,"datetime(2002, 11, 1, 0, 0)",Q12933,O43255,105243,114743,2002
POLR2D,XRCC5,"datetime(2002, 10, 11, 0, 0)",O15514,P13010,115107,106516,2002
CACHD1,GLTSCR1L,"datetime(2002, 11, 1, 0, 0)",Q5VU97,Q6AI39,115059,113118,2002
CRB1,MPP5,"datetime(2002, 4, 1, 0, 0)",P82279,Q8N3R9,111328,112081,2002
MTA2,HIST1H3A; HIST1H3B; HIST1H3C; HIST1H3D; HIST1H3E; HIST1H3F; HIST1H3G; HIST1H3H; HIST1H3I; HIST1H3J,"datetime(2002, 2, 15, 0, 0)",O94776,P68431,110912,106408,2002
UBE2D3,BARD1,"datetime(2002, 6, 14, 0, 0)",P61077,Q99728,108169,107714,2002
RAB11FIP4,RAB11FIP4,"datetime(2002, 12, 20, 0, 0)",Q86YS3,Q86YS3,110759,110759,2002
SUV39H1,HDAC3,"datetime(2002, 1, 15, 0, 0)",O43463,O15379,109564,115341,2002
TXNDC2,TXNDC2,"datetime(2002, 10, 23, 0, 0)",Q86VQ3,Q86VQ3,101274,101274,2002
GNB2L1,IGF1R,"datetime(2002, 4, 1, 0, 0)",P63244,P08069,101461,104790,2002
CDH2,CTNNB1,"datetime(2002, 7, 1, 0, 0)",P19022,P35222,111747,111577,2002
PYGB,ACTN1,"datetime(2002, 10, 1, 0, 0)",P11216,P12814,104348,115233,2002
