name1,name2,discovery date,uniport1,uniport2,id1,id2,time
NCF1,NCF2,"datetime(1994, 10, 25, 0, 0)",P14598,P19878,104372,106069,1994
JAK1,IL2RG,"datetime(1994, 7, 19, 0, 0)",P23458,P31785,107364,111834,1994
TAL1,LMO2,"datetime(1994, 8, 30, 0, 0)",P17542,P25791,104008,104853,1994
CBL,GRB2,"datetime(1994, 8, 26, 0, 0)",P22681,P62993,107136,113112,1994
CSNK1A1L,CSNK1A1L,"datetime(1994, 8, 5, 0, 0)",Q8N752,Q8N752,109562,109562,1994
CLU,PON1,"datetime(1994, 1, 25, 0, 0)",P10909,P27169,104081,103200,1994
TYK2,IFNAR1,"datetime(1994, 12, 1, 0, 0)",P29597,P17181,101260,109745,1994
TBP,POU2F2,"datetime(1994, 5, 11, 0, 0)",P20226,P09086,107088,101258,1994
FN1,COL7A1,"datetime(1994, 11, 1, 0, 0)",P02751,Q02388,104307,113148,1994
CD247,PTPRC,"datetime(1994, 11, 8, 0, 0)",P20963,P08575,113203,111903,1994
BLK,CBL,"datetime(1994, 9, 16, 0, 0)",P51451,P22681,115130,107136,1994
PIK3R1,PIK3CA,"datetime(1994, 10, 7, 0, 0)",P27986,P42336,105291,106131,1994
STX1A,STX1A,"datetime(1994, 2, 15, 0, 0)",Q16623,Q16623,101479,101479,1994
UBE2D1,UBE3A,"datetime(1994, 9, 13, 0, 0)",P51668,Q05086,114399,109720,1994
LYN,CSF3R,"datetime(1994, 5, 24, 0, 0)",P07948,Q99062,102912,104511,1994
GTF2H1,GTF2H3,"datetime(1994, 5, 15, 0, 0)",P32780,Q13889,109690,113491,1994
REL,REL,"datetime(1994, 4, 1, 0, 0)",Q04864,Q04864,100757,100757,1994
MNAT1,ESR1,"datetime(1994, 2, 11, 0, 0)",P51948,P03372,107426,102503,1994
SHC1,PDGFRB,"datetime(1994, 5, 27, 0, 0)",P29353,P09619,109781,116248,1994
SYN1,GRB2,"datetime(1994, 7, 5, 0, 0)",P17600,P62993,113657,113112,1994
TAF1B,TAF1A,"datetime(1994, 12, 23, 0, 0)",Q53T94,Q15573,105005,100008,1994
TACR2,TAC1,"datetime(1994, 11, 4, 0, 0)",P21452,P20366,100060,104060,1994
FCGR3A,SYK,"datetime(1994, 6, 1, 0, 0)",P08637,P43405,114708,114134,1994
FMOD,TGFB1,"datetime(1994, 9, 1, 0, 0)",Q06828,P01137,114351,102253,1994
GJB1,JUP,"datetime(1994, 11, 8, 0, 0)",P08034,P14923,108549,106662,1994
GNB2,GNG7,"datetime(1994, 2, 11, 0, 0)",P62879,O60262,105260,109452,1994
RANGAP1,RANGAP1,"datetime(1994, 3, 29, 0, 0)",P46060,P46060,112793,112793,1994
SHC1,FLT4,"datetime(1994, 12, 1, 0, 0)",P29353,P35916,109781,116410,1994
AVPR1A,AVP,"datetime(1994, 2, 4, 0, 0)",P37288,P01185,113053,113363,1994
GRK5,RHO,"datetime(1994, 4, 8, 0, 0)",P34947,P08100,109775,105856,1994
TGFBR1,FKBP1A,"datetime(1994, 7, 29, 0, 0)",P36897,P62942,111065,102532,1994
EPHA2,EPHA2,"datetime(1994, 12, 2, 0, 0)",P29317,P29317,109224,109224,1994
FCGR1A,FCGR3A,"datetime(1994, 7, 1, 0, 0)",P12314,P08637,101639,114708,1994
FYN,PIK3R1,"datetime(1994, 1, 21, 0, 0)",P06241,P27986,109836,105291,1994
CD86,CD28,"datetime(1994, 5, 15, 0, 0)",P42081,P10747,111437,107752,1994
NCAN,L1CAM,"datetime(1994, 5, 1, 0, 0)",O14594,P32004,102541,111925,1994
BCL2,MCL1,"datetime(1994, 9, 27, 0, 0)",P10415,Q07820,109222,105294,1994
CD28,PIK3R2,"datetime(1994, 3, 1, 0, 0)",P10747,O00459,107752,106673,1994
SYK,SRC,"datetime(1994, 5, 1, 0, 0)",P43405,P12931,114134,107525,1994
CDK7,CCNH,"datetime(1994, 9, 15, 0, 0)",P50613,P51946,103550,107425,1994
ATF3,ATF3,"datetime(1994, 1, 1, 0, 0)",P18847,P18847,104665,104665,1994
PTPRC,LYN,"datetime(1994, 6, 24, 0, 0)",P08575,P07948,111903,102912,1994
DNM1,DNM1,"datetime(1994, 10, 21, 0, 0)",Q05193,Q05193,115659,115659,1994
PTPN6,LCK,"datetime(1994, 3, 1, 0, 0)",P29350,P06239,109783,100170,1994
LTBR,TNF,"datetime(1994, 4, 29, 0, 0)",P36941,P01375,105792,116299,1994
JUN,MAPK8,"datetime(1994, 3, 25, 0, 0)",P05412,P45983,100991,111093,1994
ERCC2,GTF2H1,"datetime(1994, 4, 21, 0, 0)",P18074,P32780,110402,109690,1994
EIF4E,EIF4EBP2,"datetime(1994, 10, 27, 0, 0)",P06730,Q13542,114219,109204,1994
EGFR,SOS1,"datetime(1994, 3, 25, 0, 0)",P00533,Q07889,112630,114975,1994
IRS1,KHDRBS1,"datetime(1994, 4, 29, 0, 0)",P35568,Q07666,115660,114976,1994
BMP7,BMPR1A,"datetime(1994, 6, 24, 0, 0)",P18075,P36894,110403,111063,1994
IL2RB,SHC1,"datetime(1994, 1, 21, 0, 0)",P14784,P29353,103935,109781,1994
CDK4,CDKN2C,"datetime(1994, 12, 15, 0, 0)",P11802,P42773,112005,108569,1994
CTNNA1,CTNNB1,"datetime(1994, 12, 1, 0, 0)",P35221,P35222,111578,111577,1994
SOS1,BCR,"datetime(1994, 2, 15, 0, 0)",Q07889,P11274,114975,112391,1994
TP53BP2,TP53,"datetime(1994, 6, 21, 0, 0)",Q13625,P04637,107580,114765,1994
INSR,PTPN11,"datetime(1994, 3, 15, 0, 0)",P06213,Q06124,113554,110411,1994
RET,SHC1,"datetime(1994, 6, 1, 0, 0)",P07949,P29353,102913,109781,1994
PTPRA,PTPRA,"datetime(1994, 7, 1, 0, 0)",P18433,P18433,100911,100911,1994
KRT6A,DSP,"datetime(1994, 11, 1, 0, 0)",P02538,P15924,116243,101411,1994
TGFBR3,TGFB1,"datetime(1994, 2, 1, 0, 0)",Q03167,P01137,101059,102253,1994
RABGGTB,RAB3A,"datetime(1994, 12, 6, 0, 0)",P53611,P20336,110728,112374,1994
KDM5A,TBP,"datetime(1994, 11, 1, 0, 0)",P29375,P20226,103598,107088,1994
EPB41,DLG1,"datetime(1994, 10, 11, 0, 0)",P11171,Q12959,113198,113241,1994
EIF4E,EIF4EBP1,"datetime(1994, 10, 27, 0, 0)",P06730,Q13541,114219,109203,1994
NSF,NSF,"datetime(1994, 8, 1, 0, 0)",P46459,P46459,104958,104958,1994
E2F1,CCNA2,"datetime(1994, 12, 1, 0, 0)",Q01094,P20248,105610,110901,1994
STAT6,STAT6,"datetime(1994, 9, 16, 0, 0)",P42226,P42226,100816,100816,1994
GRB2,KIT,"datetime(1994, 10, 7, 0, 0)",P62993,P10721,113112,115140,1994
DCN,TGFB1,"datetime(1994, 9, 1, 0, 0)",P07585,P01137,105560,102253,1994
LTA,TNF,"datetime(1994, 4, 29, 0, 0)",P01374,P01375,116300,116299,1994
ALOX5,GRB2,"datetime(1994, 9, 30, 0, 0)",P09917,P62993,102640,113112,1994
STAT5A,JAK2,"datetime(1994, 9, 15, 0, 0)",P42229,O60674,104855,103401,1994
IL2RG,IL2,"datetime(1994, 7, 1, 0, 0)",P31785,P60568,111834,109007,1994
LMO2,LYL1,"datetime(1994, 10, 17, 0, 0)",P25791,P12980,104853,114051,1994
SHC1,PTPN12,"datetime(1994, 10, 14, 0, 0)",P29353,Q05209,109781,110000,1994
KHDRBS1,CSK,"datetime(1994, 4, 28, 0, 0)",Q07666,P41240,114976,103775,1994
CEACAM1,CEACAM1,"datetime(1994, 7, 1, 0, 0)",P13688,P13688,110194,110194,1994
NR3C1,HSP90AA1,"datetime(1994, 9, 23, 0, 0)",P04150,P07900,109148,103493,1994
TP53,TP53BP1,"datetime(1994, 6, 21, 0, 0)",P04637,Q12888,114765,106658,1994
KHDRBS1,PIK3R1,"datetime(1994, 4, 29, 0, 0)",Q07666,P27986,114976,105291,1994
TNFSF9,TNFRSF9,"datetime(1994, 9, 1, 0, 0)",P41273,Q07011,107529,112139,1994
TNFRSF1A,TNFRSF1A,"datetime(1994, 9, 9, 0, 0)",P19438,P19438,113149,113149,1994
SHC1,LYN,"datetime(1994, 7, 1, 0, 0)",P29353,P07948,109781,102912,1994
IL2RA,IL2RB,"datetime(1994, 7, 1, 0, 0)",P01589,P14784,110688,103935,1994
SHC1,FYN,"datetime(1994, 7, 1, 0, 0)",P29353,P06241,109781,109836,1994
CHML,RAB6A,"datetime(1994, 1, 21, 0, 0)",P26374,P20340,115819,109266,1994
BMPR1B,BMPR1B,"datetime(1994, 12, 30, 0, 0)",O00238,O00238,104897,104897,1994
AMBP,FN1,"datetime(1994, 8, 1, 0, 0)",P02760,P02751,100044,104307,1994
ITGA3,CALR,"datetime(1994, 3, 1, 0, 0)",P26006,P27797,113443,102746,1994
GRB2,LAT,"datetime(1994, 8, 26, 0, 0)",P62993,O43561,113112,111182,1994
TNFRSF1A,CSNK1A1L,"datetime(1994, 8, 5, 0, 0)",P19438,Q8N752,113149,109562,1994
GRIK5,GRIK2,"datetime(1994, 1, 14, 0, 0)",Q16478,Q13002,106604,101293,1994
FCER1G,SYK,"datetime(1994, 9, 2, 0, 0)",P30273,P43405,105670,114134,1994
SUB1,CSNK2A1,"datetime(1994, 12, 20, 0, 0)",P53999,P68400,106700,110721,1994
HSP90AA1,LCK,"datetime(1994, 8, 2, 0, 0)",P07900,P06239,103493,100170,1994
PPARG,RXRA,"datetime(1994, 12, 25, 0, 0)",P37231,P19793,110492,101747,1994
